domain,criteria-1,criteria-2,criteria-3,criteria-4
100percentfedup.com,Right-wing-bias,Style,Credibility,Professionalism
americanthinker.com,Right-wing-bias,Style,Credibility,Counterfeit
barenakedislam.com,Right-wing-bias,Style,Credibility,Professionalism
bigleaguepolitics.com,Right-wing-bias,Style,Credibility,
bizpacreview.com,Right-wing-bias,Style,Professionalism,
breitbart.com,Right-wing-bias,Style,Credibility,Professionalism
canadafreepress.com,Right-wing-bias,Style,Credibility,Professionalism
chicksonright.com,Right-wing-bias,Style,Credibility,
cnsnews.com,Right-wing-bias,Style,Credibility,Professionalism
committedconservative.com,Right-wing-bias,Style,Credibility,Professionalism
conservativedailypost.com,Right-wing-bias,Style,Credibility,Professionalism
conspiracydailyupdate.com,Credibility,Style,Aggregator,
dailycaller.com,Right-wing-bias,Style,Professionalism,
dailywire.com,Right-wing-bias,Style,Credibility,
davidharrisjr.com,Right-wing-bias,Style,Professionalism,
en-volve.com,Right-wing-bias,Style,Credibility,
frontpagemag.com,Right-wing-bias,Style,Credibility,Professionalism
gellerreport.com,Right-wing-bias,Style,Credibility,Counterfeit
hotair.com,Right-wing-bias,Style,Credibility,
infowars.com,Right-wing-bias,Style,Credibility,Professionalism
legalinsurrection.com,Right-wing-bias,Style,Professionalism,Counterfeit
libertyheadlines.com,Right-wing-bias,Style,Credibility,
lifenews.com,Right-wing-bias,Style,Credibility,Professionalism
lifezette.com,Right-wing-bias,Style,Credibility,Professionalism
magaoneradio.net,Right-wing-bias,Style,Professionalism,Aggregator 
michaelsavage.com,Right-wing-bias,Style,Credibility,
naturalnews.com,Right-wing-bias,Style,Credibility,Professionalism
newrightnetwork.com,Counterfeit,Style,Right-wing-bias,
nworeport.me,Style,Right-wing-bias,Professionalism,Counterfeit
palmerreport.com,Left-wing-bias,Professionalism,Style,
pjmedia.com,Professionalism,Counterfeit,Credibility,
rawstory.com,Left-wing-bias,Credibility,Professionalism,
red-pilled.com,,,,
redstate.com,Right-wing-bias,Style,Counterfeit,Professionalism
rushlimbaugh.com,Right-wing-bias,Professionalism,Style,
shareblue.com,Left-wing-bias,Professionalism,Counterfeit,
theblacksphere.net,Right-wing-bias,Credibility,Style,Professionalism
theblaze.com,Professionalism,Right-wing-bias,Counterfeit,
thedailydigest.org,Credibility,Counterfeit,Right-wing-bias,Professionalism
thefederalist.com,Right-wing-bias,Style,Credibility,
thegatewaypundit.com,Right-wing-bias,Style,Credibility,Professionalism
theoldschoolpatriot.com,Style,Right-wing-bias,Credibility,
thepoliticalinsider.com,Professionalism,Credibility,Counterfeit,Right-wing-bias
therightscoop.com,Right-wing-bias,Style,Professionalism,
truepundit.com,Right-wing-bias,Style,Professionalism,
truthfeednews.com,Professionalism,Counterfeit,Credibility,Right-wing-bias
twitchy.com,Style,Right-wing-bias,Professionalism,
westernfreepress.com,Professionalism,Style,Right-wing-bias,
wnd.com,Counterfeit,Right-wing-bias,Professionalism,
zerohedge.com,Credibility,Professionalism,Style,
